grupo,programa,periodo,semestre,modalidad,sede,peama,sede_oferta,programa_original_crudo,puntaje,cupos,fuente,ord
Bogotá,Arquitectura,2007-1,I,Regular,Bogotá,,,Arquitectura,650.0,81,base_bogota_corregida,4014
Bogotá,Arquitectura,2007-2,II,Regular,Bogotá,,,Arquitectura,630.0,67,base_bogota_corregida,4015
Bogotá,Arquitectura,2008-1,I,Regular,Bogotá,,,Arquitectura,674.0,67,base_bogota_corregida,4016
Bogotá,Arquitectura,2008-2,II,Regular,Bogotá,,,Arquitectura,638.7542,67,base_bogota_corregida,4017
Bogotá,Arquitectura,2009-1,I,Regular,Bogotá,,,Arquitectura,689.47,67,base_bogota_corregida,4018
Bogotá,Arquitectura,2009-2,II,Regular,Bogotá,,,Arquitectura,655.9534,67,base_bogota_corregida,4019
Bogotá,Arquitectura,2010-1,I,Regular,Bogotá,,,Arquitectura,687.915,62,base_bogota_corregida,4020
Bogotá,Arquitectura,2010-2,II,Regular,Bogotá,,,Arquitectura,682.8386,60,base_bogota_corregida,4021
Bogotá,Arquitectura,2011-1,I,Regular,Bogotá,,,Arquitectura,715.9865,60,base_bogota_corregida,4022
Bogotá,Arquitectura,2011-2,II,Regular,Bogotá,,,Arquitectura,677.4486,62,base_bogota_corregida,4023
Bogotá,Arquitectura,2012-1,I,Regular,Bogotá,,,Arquitectura,692.5373,71,base_bogota_corregida,4024
Bogotá,Arquitectura,2012-2,II,Regular,Bogotá,,,Arquitectura,690.6607,70,base_bogota_corregida,4025
Bogotá,Arquitectura,2013-1,I,Regular,Bogotá,,,Arquitectura,687.1153,70,base_bogota_corregida,4026
Bogotá,Arquitectura,2013-2,II,Regular,Bogotá,,,Arquitectura,681.6122,70,base_bogota_corregida,4027
Bogotá,Arquitectura,2014-1,I,Regular,Bogotá,,,Arquitectura,700.0368,68,base_bogota_corregida,4028
Bogotá,Arquitectura,2014-2,II,Regular,Bogotá,,,Arquitectura,663.534,70,base_bogota_corregida,4029
Bogotá,Arquitectura,2015-1,I,Regular,Bogotá,,,Arquitectura,697.5921,72,base_bogota_corregida,4030
Bogotá,Arquitectura,2015-2,II,Regular,Bogotá,,,Arquitectura,671.1814,76,base_bogota_corregida,4031
Bogotá,Arquitectura,2016-1,I,Regular,Bogotá,,,Arquitectura,681.9261,76,base_bogota_corregida,4032
Bogotá,Arquitectura,2016-2,II,Regular,Bogotá,,,Arquitectura,653.5468,76,base_bogota_corregida,4033
Bogotá,Arquitectura,2017-1,I,Regular,Bogotá,,,Arquitectura,693.7228,82,base_bogota_corregida,4034
Bogotá,Arquitectura,2017-2,II,Regular,Bogotá,,,Arquitectura,659.62,77,base_bogota_corregida,4035
Bogotá,Arquitectura,2018-1,I,Regular,Bogotá,,,Arquitectura,679.8182,86,base_bogota_corregida,4036
Bogotá,Arquitectura,2018-2,II,Regular,Bogotá,,,Arquitectura,653.7084,84,base_bogota_corregida,4037
Bogotá,Arquitectura,2019-1,I,Regular,Bogotá,,,Arquitectura,694.9775,66,base_bogota_corregida,4038
Bogotá,Arquitectura,2019-2,II,Regular,Bogotá,,,Arquitectura,654.2464,80,base_bogota_corregida,4039
Bogotá,Arquitectura,2020-1,I,Regular,Bogotá,,,Arquitectura,668.1536,82,201_regulares_y_MBP_Bogota.pdf,4040
Bogotá,Arquitectura,2020-2,II,Regular,Bogotá,,,Arquitectura,624.6154,81,202_regulares_y_MBP_Bogota_1_.pdf,4041
Bogotá,Arquitectura,2021-1,I,Regular,Bogotá,,,Arquitectura,634.5596,82,211_regulares_y_MBP_BOGOTA.pdf,4042
Bogotá,Arquitectura,2021-2,II,Regular,Bogotá,,,Arquitectura,593.0175,80,212_regulares_y_MBP-Bogota.pdf,4043
Bogotá,Arquitectura,2022-1,I,Regular,Bogotá,,,Arquitectura,630.7338,80,22-1_regulares_y_MBP_BOGOTA.pdf,4044
Bogotá,Arquitectura,2022-2,II,Regular,Bogotá,,,Arquitectura,599.1092,85,22-2_regulares_y_MBP_BOGOTA.pdf,4045
Bogotá,Arquitectura,2023-1,I,Regular,Bogotá,,,Arquitectura,669.2994,79,23-1_regulares_y_MBP_BOGOTA.pdf,4046
Bogotá,Arquitectura,2023-2,II,Regular,Bogotá,,,Arquitectura,640.6309,79,23-2_regulares_y_MBP_BOGOTA.pdf,4047
Bogotá,Arquitectura,2024-1,I,Regular,Bogotá,,,Arquitectura,674.8471,76,24-1_regulares_y_MBP_BOGOTA.pdf,4048
Bogotá,Arquitectura,2024-2,II,Regular,Bogotá,,,Arquitectura,646.3469,72,24-2_regulares_y_MBP_BOGOTA.pdf,4049
Bogotá,Arquitectura,2025-1,I,Regular,Bogotá,,,Arquitectura,651.2344,73,2025-1_regulares_y_MBP_BOGOTA.pdf,4050
Bogotá,Arquitectura,2025-2,II,Regular,Bogotá,,,Arquitectura,606.2261,74,regulares_y_MBP_BOGOTA.pdf,4051
Bogotá,Arquitectura,2026-1,I,Regular,Bogotá,,,Arquitectura,635.022,76,26-1_regulares_y_MBP_BOGOTA.pdf,4052
Bogotá,Artes Plásticas,2007-1,I,Regular,Bogotá,,,Artes Plásticas,647.0,32,base_bogota_corregida,4014
Bogotá,Artes Plásticas,2007-2,II,Regular,Bogotá,,,Artes Plásticas,571.0,32,base_bogota_corregida,4015
Bogotá,Artes Plásticas,2008-1,I,Regular,Bogotá,,,Artes Plásticas,576.0,32,base_bogota_corregida,4016
Bogotá,Artes Plásticas,2008-2,II,Regular,Bogotá,,,Artes Plásticas,541.8942,32,base_bogota_corregida,4017
Bogotá,Artes Plásticas,2009-1,I,Regular,Bogotá,,,Artes Plásticas,582.73,33,base_bogota_corregida,4018
Bogotá,Artes Plásticas,2009-2,II,Regular,Bogotá,,,Artes Plásticas,556.6669,30,base_bogota_corregida,4019
Bogotá,Artes Plásticas,2010-1,I,Regular,Bogotá,,,Artes Plásticas,602.7407,28,base_bogota_corregida,4020
Bogotá,Artes Plásticas,2010-2,II,Regular,Bogotá,,,Artes Plásticas,578.4235,28,base_bogota_corregida,4021
Bogotá,Artes Plásticas,2011-1,I,Regular,Bogotá,,,Artes Plásticas,616.6804,28,base_bogota_corregida,4022
Bogotá,Artes Plásticas,2011-2,II,Regular,Bogotá,,,Artes Plásticas,589.9224,28,base_bogota_corregida,4023
Bogotá,Artes Plásticas,2012-1,I,Regular,Bogotá,,,Artes Plásticas,604.9906,28,base_bogota_corregida,4024
Bogotá,Artes Plásticas,2012-2,II,Regular,Bogotá,,,Artes Plásticas,556.2797,28,base_bogota_corregida,4025
Bogotá,Artes Plásticas,2013-1,I,Regular,Bogotá,,,Artes Plásticas,595.9559,33,base_bogota_corregida,4026
Bogotá,Artes Plásticas,2013-2,II,Regular,Bogotá,,,Artes Plásticas,590.9652,26,base_bogota_corregida,4027
Bogotá,Artes Plásticas,2015-1,I,Regular,Bogotá,,,Artes Plásticas,607.4508,30,151_regulares_y_MBPBog.pdf,4030
Bogotá,Artes Plásticas,2015-2,II,Regular,Bogotá,,,Artes Plásticas,594.0968,28,152_regulares_y_MBPBogota.pdf,4031
Bogotá,Artes Plásticas,2016-1,I,Regular,Bogotá,,,Artes Plásticas,608.6616,28,161_regulares_y_MBPBog.pdf,4032
Bogotá,Artes Plásticas,2020-1,I,Regular,Bogotá,,,Artes Plásticas,595.265,37,201_regulares_y_MBP_Bogota.pdf,4040
Bogotá,Artes Plásticas,2020-2,II,Regular,Bogotá,,,Artes Plasticas,620.8951,35,202_regulares_y_MBP_Bogota_1_.pdf,4041
Bogotá,Artes Plásticas,2021-1,I,Regular,Bogotá,,,Artes Plasticas,633.0665,37,211_regulares_y_MBP_BOGOTA.pdf,4042
Bogotá,Artes Plásticas,2021-2,II,Regular,Bogotá,,,Artes Plasticas,574.5231,35,212_regulares_y_MBP-Bogota.pdf,4043
Bogotá,Artes Plásticas,2022-1,I,Regular,Bogotá,,,Artes Plasticas,606.3158,35,22-1_regulares_y_MBP_BOGOTA.pdf,4044
Bogotá,Artes Plásticas,2022-2,II,Regular,Bogotá,,,Artes Plasticas,563.9617,32,22-2_regulares_y_MBP_BOGOTA.pdf,4045
Bogotá,Artes Plásticas,2023-1,I,Regular,Bogotá,,,Artes Plásticas,589.4214,32,23-1_regulares_y_MBP_BOGOTA.pdf,4046
Bogotá,Artes Plásticas,2023-2,II,Regular,Bogotá,,,Artes Plásticas,578.1418,34,23-2_regulares_y_MBP_BOGOTA.pdf,4047
Bogotá,Artes Plásticas,2024-1,I,Regular,Bogotá,,,Artes Plásticas,601.5434,32,24-1_regulares_y_MBP_BOGOTA.pdf,4048
